    1 runs 0-4: A=0, S=4, W=0, F=4, T=4
    2 runs 3-11: A=3, S=5, W=3, F=11, T=8
    3 runs 8-10: A=8, S=2, W=0, F=10, T=2
    4 runs 11-13: A=11, S=2, W=0, F=13, T=2
    5 runs 13-23: A=13, S=6, W=4, F=23, T=10
    6 runs 17-29: A=17, S=7, W=5, F=29, T=12
    7 runs 18-26: A=18, S=3, W=5, F=26, T=8
    8 runs 23-44: A=23, S=7, W=14, F=44, T=21
    9 runs 28-36: A=28, S=3, W=5, F=36, T=8
   10 runs 32-37: A=32, S=1, W=4, F=37, T=5
   11 runs 33-51: A=33, S=11, W=7, F=51, T=18
   12 runs 56-62: A=56, S=6, W=0, F=62, T=6
   13 runs 60-63: A=60, S=1, W=2, F=63, T=3
   14 runs 64-66: A=64, S=2, W=0, F=66, T=2
   15 runs 67-69: A=67, S=2, W=0, F=69, T=2
   16 runs 71-79: A=71, S=7, W=1, F=79, T=8
   17 runs 77-78: A=77, S=1, W=0, F=78, T=1
   18 runs 82-86: A=82, S=4, W=0, F=86, T=4
   19 runs 90-114: A=90, S=18, W=6, F=114, T=24
   20 runs 99-103: A=99, S=1, W=3, F=103, T=4
   21 runs 102-104: A=102, S=1, W=1, F=104, T=2
   22 runs 105-112: A=105, S=4, W=3, F=112, T=7
   23 runs 110-116: A=110, S=2, W=4, F=116, T=6
   24 runs 112-130: A=112, S=8, W=10, F=130, T=18
   25 runs 113-121: A=113, S=1, W=7, F=121, T=8
   26 runs 117-132: A=117, S=6, W=9, F=132, T=15
   27 runs 119-126: A=119, S=1, W=6, F=126, T=7
   28 runs 129-135: A=129, S=3, W=3, F=135, T=6
   29 runs 140-146: A=140, S=6, W=0, F=146, T=6
   30 runs 144-157: A=144, S=7, W=6, F=157, T=13
   31 runs 150-167: A=150, S=9, W=8, F=167, T=17
   32 runs 157-162: A=157, S=1, W=4, F=162, T=5
   33 runs 161-170: A=161, S=7, W=2, F=170, T=9
   34 runs 173-234: A=173, S=18, W=43, F=234, T=61
   35 runs 174-190: A=174, S=8, W=8, F=190, T=16
   36 runs 178-199: A=178, S=5, W=16, F=199, T=21
   37 runs 183-198: A=183, S=4, W=11, F=198, T=15
   38 runs 190-217: A=190, S=6, W=21, F=217, T=27
   39 runs 192-222: A=192, S=8, W=22, F=222, T=30
   40 runs 194-208: A=194, S=1, W=13, F=208, T=14
   41 runs 202-215: A=202, S=3, W=10, F=215, T=13
   42 runs 204-218: A=204, S=1, W=13, F=218, T=14
   43 runs 211-223: A=211, S=1, W=11, F=223, T=12
   44 runs 218-228: A=218, S=1, W=9, F=228, T=10
   45 runs 222-229: A=222, S=1, W=6, F=229, T=7
   46 runs 224-249: A=224, S=10, W=15, F=249, T=25
   47 runs 232-237: A=232, S=3, W=2, F=237, T=5
   48 runs 234-243: A=234, S=2, W=7, F=243, T=9
   49 runs 238-267: A=238, S=6, W=23, F=267, T=29
   50 runs 242-339: A=242, S=23, W=74, F=339, T=97
   51 runs 243-256: A=243, S=3, W=10, F=256, T=13
   52 runs 244-346: A=244, S=21, W=81, F=346, T=102
   53 runs 246-283: A=246, S=8, W=29, F=283, T=37
   54 runs 247-265: A=247, S=1, W=17, F=265, T=18
   55 runs 254-273: A=254, S=2, W=17, F=273, T=19
   56 runs 261-279: A=261, S=2, W=16, F=279, T=18
   57 runs 267-301: A=267, S=8, W=26, F=301, T=34
   58 runs 285-297: A=285, S=2, W=10, F=297, T=12
   59 runs 291-304: A=291, S=3, W=10, F=304, T=13
   60 runs 292-310: A=292, S=2, W=16, F=310, T=18
   61 runs 300-317: A=300, S=3, W=14, F=317, T=17
   62 runs 309-324: A=309, S=3, W=12, F=324, T=15
   63 runs 311-345: A=311, S=7, W=27, F=345, T=34
   64 runs 319-335: A=319, S=3, W=13, F=335, T=16
   65 runs 320-336: A=320, S=1, W=15, F=336, T=16
   66 runs 322-340: A=322, S=1, W=17, F=340, T=18
   67 runs 328-342: A=328, S=2, W=12, F=342, T=14
   68 runs 342-350: A=342, S=4, W=4, F=350, T=8
   69 runs 345-354: A=345, S=4, W=5, F=354, T=9
   70 runs 353-357: A=353, S=3, W=1, F=357, T=4
   71 runs 354-361: A=354, S=4, W=3, F=361, T=7
