    1 runs 0-4: A=0, S=4, W=0, F=4, T=4
    2 runs 3-9: A=3, S=5, W=1, F=9, T=6
    3 runs 8-11: A=8, S=2, W=1, F=11, T=3
    4 runs 11-13: A=11, S=2, W=0, F=13, T=2
    5 runs 13-19: A=13, S=6, W=0, F=19, T=6
    6 runs 17-29: A=17, S=7, W=5, F=29, T=12
    7 runs 18-22: A=18, S=3, W=1, F=22, T=4
    8 runs 23-40: A=23, S=7, W=10, F=40, T=17
    9 runs 28-32: A=28, S=3, W=1, F=32, T=4
   10 runs 32-33: A=32, S=1, W=0, F=33, T=1
   11 runs 33-51: A=33, S=11, W=7, F=51, T=18
   12 runs 56-62: A=56, S=6, W=0, F=62, T=6
   13 runs 60-63: A=60, S=1, W=2, F=63, T=3
   14 runs 64-66: A=64, S=2, W=0, F=66, T=2
   15 runs 67-69: A=67, S=2, W=0, F=69, T=2
   16 runs 71-78: A=71, S=7, W=0, F=78, T=7
   17 runs 77-79: A=77, S=1, W=1, F=79, T=2
   18 runs 82-86: A=82, S=4, W=0, F=86, T=4
   19 runs 90-108: A=90, S=18, W=0, F=108, T=18
   20 runs 99-134: A=99, S=1, W=34, F=134, T=35
   21 runs 102-135: A=102, S=1, W=32, F=135, T=33
   22 runs 105-112: A=105, S=4, W=3, F=112, T=7
   23 runs 110-114: A=110, S=2, W=2, F=114, T=4
   24 runs 112-123: A=112, S=8, W=3, F=123, T=11
   25 runs 113-115: A=113, S=1, W=1, F=115, T=2
   26 runs 117-130: A=117, S=6, W=7, F=130, T=13
   27 runs 119-124: A=119, S=1, W=4, F=124, T=5
   28 runs 129-133: A=129, S=3, W=1, F=133, T=4
   29 runs 140-146: A=140, S=6, W=0, F=146, T=6
   30 runs 144-153: A=144, S=7, W=2, F=153, T=9
   31 runs 150-162: A=150, S=9, W=3, F=162, T=12
   32 runs 157-163: A=157, S=1, W=5, F=163, T=6
   33 runs 161-170: A=161, S=7, W=2, F=170, T=9
   34 runs 173-191: A=173, S=18, W=0, F=191, T=18
   35 runs 174-229: A=174, S=8, W=47, F=229, T=55
   36 runs 178-213: A=178, S=5, W=30, F=213, T=35
   37 runs 183-195: A=183, S=4, W=8, F=195, T=12
   38 runs 190-220: A=190, S=6, W=24, F=220, T=30
   39 runs 192-204: A=192, S=8, W=4, F=204, T=12
   40 runs 194-196: A=194, S=1, W=1, F=196, T=2
   41 runs 202-208: A=202, S=3, W=3, F=208, T=6
   42 runs 204-205: A=204, S=1, W=0, F=205, T=1
   43 runs 211-214: A=211, S=1, W=2, F=214, T=3
   44 runs 218-221: A=218, S=1, W=2, F=221, T=3
