    1 runs 0-4: A=0, S=4, W=0, F=4, T=4
    2 runs 3-9: A=3, S=5, W=1, F=9, T=6
    3 runs 8-11: A=8, S=2, W=1, F=11, T=3
    4 runs 11-13: A=11, S=2, W=0, F=13, T=2
    5 runs 13-19: A=13, S=6, W=0, F=19, T=6
    6 runs 17-26: A=17, S=7, W=2, F=26, T=9
    7 runs 18-29: A=18, S=3, W=8, F=29, T=11
    8 runs 23-36: A=23, S=7, W=6, F=36, T=13
    9 runs 28-39: A=28, S=3, W=8, F=39, T=11
   10 runs 32-40: A=32, S=1, W=7, F=40, T=8
   11 runs 33-56: A=33, S=11, W=12, F=56, T=23
   12 runs 56-62: A=56, S=6, W=0, F=62, T=6
   13 runs 60-64: A=60, S=1, W=3, F=64, T=4
   14 runs 64-67: A=64, S=2, W=1, F=67, T=3
   15 runs 67-71: A=67, S=2, W=2, F=71, T=4
   16 runs 71-78: A=71, S=7, W=0, F=78, T=7
   17 runs 77-82: A=77, S=1, W=4, F=82, T=5
   18 runs 82-90: A=82, S=4, W=4, F=90, T=8
   19 runs 90-108: A=90, S=18, W=0, F=108, T=18
   20 runs 99-109: A=99, S=1, W=9, F=109, T=10
   21 runs 102-110: A=102, S=1, W=7, F=110, T=8
   22 runs 105-114: A=105, S=4, W=5, F=114, T=9
   23 runs 110-116: A=110, S=2, W=4, F=116, T=6
   24 runs 112-124: A=112, S=8, W=4, F=124, T=12
   25 runs 113-125: A=113, S=1, W=11, F=125, T=12
   26 runs 117-131: A=117, S=6, W=8, F=131, T=14
   27 runs 119-132: A=119, S=1, W=12, F=132, T=13
   28 runs 129-140: A=129, S=3, W=8, F=140, T=11
   29 runs 140-146: A=140, S=6, W=0, F=146, T=6
   30 runs 144-153: A=144, S=7, W=2, F=153, T=9
   31 runs 150-162: A=150, S=9, W=3, F=162, T=12
   32 runs 157-163: A=157, S=1, W=5, F=163, T=6
   33 runs 161-173: A=161, S=7, W=5, F=173, T=12
   34 runs 173-191: A=173, S=18, W=0, F=191, T=18
   35 runs 174-199: A=174, S=8, W=17, F=199, T=25
   36 runs 178-204: A=178, S=5, W=21, F=204, T=26
   37 runs 183-208: A=183, S=4, W=21, F=208, T=25
   38 runs 190-214: A=190, S=6, W=18, F=214, T=24
   39 runs 192-222: A=192, S=8, W=22, F=222, T=30
   40 runs 194-223: A=194, S=1, W=28, F=223, T=29
   41 runs 202-226: A=202, S=3, W=21, F=226, T=24
   42 runs 204-227: A=204, S=1, W=22, F=227, T=23
   43 runs 211-228: A=211, S=1, W=16, F=228, T=17
   44 runs 218-229: A=218, S=1, W=10, F=229, T=11
