    1 runs 0-5: A=0, S=4, W=1, F=5, T=5
    2 runs 3-10: A=3, S=5, W=2, F=10, T=7
    3 runs 8-11: A=8, S=2, W=1, F=11, T=3
    4 runs 11-13: A=11, S=2, W=0, F=13, T=2
    5 runs 13-22: A=13, S=6, W=3, F=22, T=9
    6 runs 17-36: A=17, S=7, W=12, F=36, T=19
    7 runs 18-26: A=18, S=3, W=5, F=26, T=8
    8 runs 23-43: A=23, S=7, W=13, F=43, T=20
    9 runs 28-38: A=28, S=3, W=7, F=38, T=10
   10 runs 32-35: A=32, S=1, W=2, F=35, T=3
   11 runs 33-51: A=33, S=11, W=7, F=51, T=18
   12 runs 56-62: A=56, S=6, W=0, F=62, T=6
   13 runs 60-63: A=60, S=1, W=2, F=63, T=3
   14 runs 64-66: A=64, S=2, W=0, F=66, T=2
   15 runs 67-69: A=67, S=2, W=0, F=69, T=2
   16 runs 71-78: A=71, S=7, W=0, F=78, T=7
   17 runs 77-79: A=77, S=1, W=1, F=79, T=2
   18 runs 82-86: A=82, S=4, W=0, F=86, T=4
   19 runs 90-108: A=90, S=18, W=0, F=108, T=18
   20 runs 99-109: A=99, S=1, W=9, F=109, T=10
   21 runs 102-110: A=102, S=1, W=7, F=110, T=8
   22 runs 105-120: A=105, S=4, W=11, F=120, T=15
   23 runs 110-115: A=110, S=2, W=3, F=115, T=5
   24 runs 112-133: A=112, S=8, W=13, F=133, T=21
   25 runs 113-116: A=113, S=1, W=2, F=116, T=3
   26 runs 117-132: A=117, S=6, W=9, F=132, T=15
   27 runs 119-122: A=119, S=1, W=2, F=122, T=3
   28 runs 129-135: A=129, S=3, W=3, F=135, T=6
   29 runs 140-146: A=140, S=6, W=0, F=146, T=6
   30 runs 144-156: A=144, S=7, W=5, F=156, T=12
   31 runs 150-165: A=150, S=9, W=6, F=165, T=15
   32 runs 157-158: A=157, S=1, W=0, F=158, T=1
   33 runs 161-170: A=161, S=7, W=2, F=170, T=9
   34 runs 173-191: A=173, S=18, W=0, F=191, T=18
   35 runs 174-230: A=174, S=8, W=48, F=230, T=56
   36 runs 178-218: A=178, S=5, W=35, F=218, T=40
   37 runs 183-212: A=183, S=4, W=25, F=212, T=29
   38 runs 190-224: A=190, S=6, W=28, F=224, T=34
   39 runs 192-232: A=192, S=8, W=32, F=232, T=40
   40 runs 194-199: A=194, S=1, W=4, F=199, T=5
