    1 runs 0-4: A=0, S=4, W=0, F=4, T=4
    2 runs 3-11: A=3, S=5, W=3, F=11, T=8
    3 runs 8-10: A=8, S=2, W=0, F=10, T=2
    4 runs 11-13: A=11, S=2, W=0, F=13, T=2
    5 runs 13-22: A=13, S=6, W=3, F=22, T=9
    6 runs 17-32: A=17, S=7, W=8, F=32, T=15
    7 runs 18-21: A=18, S=3, W=0, F=21, T=3
    8 runs 23-40: A=23, S=7, W=10, F=40, T=17
    9 runs 28-31: A=28, S=3, W=0, F=31, T=3
   10 runs 32-33: A=32, S=1, W=0, F=33, T=1
   11 runs 33-51: A=33, S=11, W=7, F=51, T=18
   12 runs 56-63: A=56, S=6, W=1, F=63, T=7
   13 runs 60-61: A=60, S=1, W=0, F=61, T=1
   14 runs 64-66: A=64, S=2, W=0, F=66, T=2
   15 runs 67-69: A=67, S=2, W=0, F=69, T=2
   16 runs 71-79: A=71, S=7, W=1, F=79, T=8
   17 runs 77-78: A=77, S=1, W=0, F=78, T=1
   18 runs 82-86: A=82, S=4, W=0, F=86, T=4
   19 runs 90-117: A=90, S=18, W=9, F=117, T=27
   20 runs 99-100: A=99, S=1, W=0, F=100, T=1
   21 runs 102-103: A=102, S=1, W=0, F=103, T=1
   22 runs 105-109: A=105, S=4, W=0, F=109, T=4
   23 runs 110-112: A=110, S=2, W=0, F=112, T=2
   24 runs 112-135: A=112, S=8, W=15, F=135, T=23
   25 runs 113-114: A=113, S=1, W=0, F=114, T=1
   26 runs 117-124: A=117, S=6, W=1, F=124, T=7
   27 runs 119-120: A=119, S=1, W=0, F=120, T=1
   28 runs 129-132: A=129, S=3, W=0, F=132, T=3
   29 runs 140-146: A=140, S=6, W=0, F=146, T=6
   30 runs 144-153: A=144, S=7, W=2, F=153, T=9
   31 runs 150-170: A=150, S=9, W=11, F=170, T=20
   32 runs 157-158: A=157, S=1, W=0, F=158, T=1
   33 runs 161-168: A=161, S=7, W=0, F=168, T=7
   34 runs 173-257: A=173, S=18, W=66, F=257, T=84
   35 runs 174-196: A=174, S=8, W=14, F=196, T=22
   36 runs 178-183: A=178, S=5, W=0, F=183, T=5
   37 runs 183-187: A=183, S=4, W=0, F=187, T=4
   38 runs 190-198: A=190, S=6, W=2, F=198, T=8
   39 runs 192-210: A=192, S=8, W=10, F=210, T=18
   40 runs 194-195: A=194, S=1, W=0, F=195, T=1
   41 runs 202-206: A=202, S=3, W=1, F=206, T=4
   42 runs 204-205: A=204, S=1, W=0, F=205, T=1
   43 runs 211-212: A=211, S=1, W=0, F=212, T=1
   44 runs 218-219: A=218, S=1, W=0, F=219, T=1
   45 runs 222-223: A=222, S=1, W=0, F=223, T=1
   46 runs 224-247: A=224, S=10, W=13, F=247, T=23
   47 runs 232-237: A=232, S=3, W=2, F=237, T=5
   48 runs 234-236: A=234, S=2, W=0, F=236, T=2
   49 runs 238-249: A=238, S=6, W=5, F=249, T=11
   50 runs 242-350: A=242, S=23, W=85, F=350, T=108
   51 runs 243-246: A=243, S=3, W=0, F=246, T=3
   52 runs 244-306: A=244, S=21, W=41, F=306, T=62
   53 runs 246-267: A=246, S=8, W=13, F=267, T=21
   54 runs 247-248: A=247, S=1, W=0, F=248, T=1
   55 runs 254-256: A=254, S=2, W=0, F=256, T=2
   56 runs 261-263: A=261, S=2, W=0, F=263, T=2
   57 runs 267-275: A=267, S=8, W=0, F=275, T=8
   58 runs 285-287: A=285, S=2, W=0, F=287, T=2
   59 runs 291-296: A=291, S=3, W=2, F=296, T=5
   60 runs 292-294: A=292, S=2, W=0, F=294, T=2
   61 runs 300-303: A=300, S=3, W=0, F=303, T=3
   62 runs 309-312: A=309, S=3, W=0, F=312, T=3
   63 runs 311-319: A=311, S=7, W=1, F=319, T=8
   64 runs 319-324: A=319, S=3, W=2, F=324, T=5
   65 runs 320-321: A=320, S=1, W=0, F=321, T=1
   66 runs 322-323: A=322, S=1, W=0, F=323, T=1
   67 runs 328-330: A=328, S=2, W=0, F=330, T=2
   68 runs 342-346: A=342, S=4, W=0, F=346, T=4
   69 runs 345-357: A=345, S=4, W=8, F=357, T=12
   70 runs 353-356: A=353, S=3, W=0, F=356, T=3
   71 runs 354-361: A=354, S=4, W=3, F=361, T=7
