pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 4, 0, 1, 4, 4, 0, 1.00, 1
2, 3, 1, 65401, 5, 5, 2, 1, 2.00, 1
3, 8, 2, 0, 11, 12, 4, 2, 2.00, 1
4, 11, 2, 0, 13, 14, 3, 1, 1.50, 1
5, 13, 6, 0, 15, 47, 34, 28, 5.67, 1
6, 17, 7, 0, 20, 49, 32, 25, 4.57, 1
7, 18, 3, 0, 25, 27, 9, 6, 3.00, 1
8, 23, 7, 0, 28, 51, 28, 21, 4.00, 1
9, 28, 3, 0, 33, 35, 7, 4, 2.33, 1
10, 32, 1, 0, 36, 36, 4, 3, 4.00, 1
11, 33, 11, 0, 37, 68, 35, 24, 3.18, 1
12, 56, 6, 0, 57, 69, 13, 7, 2.17, 1
13, 60, 1, 0, 62, 62, 2, 1, 2.00, 1
14, 64, 2, 0, 70, 71, 7, 5, 3.50, 1
15, 67, 2, 0, 72, 73, 6, 4, 3.00, 1
16, 71, 7, 0, 74, 86, 15, 8, 2.14, 1
17, 77, 1, 0, 79, 79, 2, 1, 2.00, 1
18, 82, 4, 0, 87, 90, 8, 4, 2.00, 1
19, 90, 18, 0, 91, 166, 76, 58, 4.22, 1
20, 99, 1, 0, 106, 106, 7, 6, 7.00, 1
21, 102, 1, 0, 107, 107, 5, 4, 5.00, 1
22, 105, 4, 0, 108, 111, 6, 2, 1.50, 1
23, 110, 2, 0, 112, 113, 3, 1, 1.50, 1
24, 112, 8, 0, 114, 138, 26, 18, 3.25, 1
25, 113, 1, 0, 119, 119, 6, 5, 6.00, 1
26, 117, 6, 0, 120, 139, 22, 16, 3.67, 1
27, 119, 1, 0, 125, 125, 6, 5, 6.00, 1
28, 129, 3, 0, 140, 142, 13, 10, 4.33, 1
29, 140, 6, 0, 143, 167, 27, 21, 4.50, 1
30, 144, 7, 0, 148, 169, 25, 18, 3.57, 1
31, 150, 9, 0, 153, 173, 23, 14, 2.56, 1
32, 157, 1, 0, 158, 158, 1, 0, 1.00, 1
33, 161, 7, 0, 174, 220, 59, 52, 8.43, 1
34, 173, 18, 0, 179, 342, 169, 151, 9.39, 1
35, 174, 8, 0, 184, 228, 54, 46, 6.75, 1
36, 178, 5, 0, 189, 193, 15, 10, 3.00, 1
37, 183, 4, 0, 194, 197, 14, 10, 3.50, 1
38, 190, 6, 0, 198, 229, 39, 33, 6.50, 1
39, 192, 8, 0, 203, 232, 40, 32, 5.00, 1
40, 194, 1, 0, 208, 208, 14, 13, 14.00, 1
41, 202, 3, 0, 209, 211, 9, 6, 3.00, 1
42, 204, 1, 0, 212, 212, 8, 7, 8.00, 1
43, 211, 1, 0, 213, 213, 2, 1, 2.00, 1
44, 218, 1, 0, 233, 233, 15, 14, 15.00, 1
45, 222, 1, 0, 234, 234, 12, 11, 12.00, 1
46, 224, 10, 0, 235, 292, 68, 58, 6.80, 1
47, 232, 3, 0, 240, 242, 10, 7, 3.33, 1
48, 234, 2, 0, 243, 244, 10, 8, 5.00, 1
49, 238, 6, 0, 245, 293, 55, 49, 9.17, 1
50, 242, 23, 0, 250, 443, 201, 178, 8.74, 1
51, 243, 3, 0, 255, 257, 14, 11, 4.67, 1
52, 244, 21, 0, 258, 444, 200, 179, 9.52, 1
53, 246, 8, 0, 263, 306, 60, 52, 7.50, 1
54, 247, 1, 0, 268, 268, 21, 20, 21.00, 1
55, 254, 2, 0, 269, 270, 16, 14, 8.00, 1
56, 261, 2, 0, 271, 272, 11, 9, 5.50, 1
57, 267, 8, 0, 273, 309, 42, 34, 5.25, 1
58, 285, 2, 0, 310, 311, 26, 24, 13.00, 1
59, 291, 3, 0, 312, 314, 23, 20, 7.67, 1
60, 292, 2, 0, 315, 316, 24, 22, 12.00, 1
61, 300, 3, 0, 317, 319, 19, 16, 6.33, 1
62, 309, 3, 0, 320, 322, 13, 10, 4.33, 1
63, 311, 7, 0, 323, 354, 43, 36, 6.14, 1
64, 319, 3, 0, 328, 330, 11, 8, 3.67, 1
65, 320, 1, 0, 331, 331, 11, 10, 11.00, 1
66, 322, 1, 0, 332, 332, 10, 9, 10.00, 1
67, 328, 2, 0, 333, 334, 6, 4, 3.00, 1
68, 342, 4, 0, 355, 358, 16, 12, 4.00, 1
69, 345, 4, 0, 359, 362, 17, 13, 4.25, 1
70, 353, 3, 0, 363, 365, 12, 9, 4.00, 1
71, 354, 4, 0, 366, 369, 15, 11, 3.75, 1
72, 357, 6, 0, 370, 409, 52, 46, 8.67, 1
73, 359, 6, 0, 375, 410, 51, 45, 8.50, 1
74, 360, 5, 0, 380, 384, 24, 19, 4.80, 1
75, 361, 1, 0, 385, 385, 24, 23, 24.00, 1
76, 370, 2, 0, 386, 387, 17, 15, 8.50, 1
77, 371, 1, 0, 388, 388, 17, 16, 17.00, 1
78, 376, 2, 0, 389, 390, 14, 12, 7.00, 1
79, 390, 3, 0, 391, 393, 3, 0, 1.00, 1
80, 395, 2, 0, 411, 412, 17, 15, 8.50, 1
81, 397, 1, 0, 413, 413, 16, 15, 16.00, 1
82, 400, 1, 0, 414, 414, 14, 13, 14.00, 1
83, 401, 7, 0, 415, 446, 45, 38, 6.43, 1
84, 403, 4, 0, 420, 423, 20, 16, 5.00, 1
85, 405, 2, 0, 424, 425, 20, 18, 10.00, 1
86, 407, 1, 0, 426, 426, 19, 18, 19.00, 1
87, 424, 10, 0, 427, 451, 27, 17, 2.70, 1
88, 428, 1, 0, 432, 432, 4, 3, 4.00, 1
89, 432, 2, 0, 433, 434, 2, 0, 1.00, 1
90, 433, 1, 0, 435, 435, 2, 1, 2.00, 1
91, 436, 4, 0, 452, 455, 19, 15, 4.75, 1
92, 437, 4, 0, 456, 459, 22, 18, 5.50, 1
93, 442, 1, 0, 460, 460, 18, 17, 18.00, 1
94, 443, 3, 0, 461, 463, 20, 17, 6.67, 1
95, 446, 3, 0, 464, 466, 20, 17, 6.67, 1
96, 447, 12, 0, 467, 930, 483, 471, 40.25, 1
97, 449, 4, 0, 472, 475, 26, 22, 6.50, 1
98, 452, 4, 0, 476, 479, 27, 23, 6.75, 1
99, 461, 5, 0, 480, 484, 23, 18, 4.60, 1
100, 464, 5, 0, 485, 489, 25, 20, 5.00, 1
101, 475, 3, 0, 490, 492, 17, 14, 5.67, 1
102, 476, 9, 0, 493, 656, 180, 171, 20.00, 1
103, 477, 6, 0, 498, 657, 180, 174, 30.00, 1
104, 479, 7, 0, 503, 659, 180, 173, 25.71, 1
105, 480, 2, 0, 508, 509, 29, 27, 14.50, 1
106, 481, 15, 0, 510, 935, 454, 439, 30.27, 1
107, 482, 2, 0, 515, 516, 34, 32, 17.00, 1
108, 483, 6, 0, 517, 665, 182, 176, 30.33, 1
109, 484, 4, 0, 522, 525, 41, 37, 10.25, 1
110, 501, 6, 0, 526, 666, 165, 159, 27.50, 1
111, 509, 5, 0, 531, 535, 26, 21, 5.20, 1
112, 510, 4, 0, 536, 539, 29, 25, 7.25, 1
113, 516, 11, 0, 540, 936, 420, 409, 38.18, 1
114, 520, 1, 0, 545, 545, 25, 24, 25.00, 1
115, 521, 9, 0, 546, 675, 154, 145, 17.11, 1
116, 522, 11, 0, 551, 937, 415, 404, 37.73, 1
117, 534, 10, 0, 556, 685, 151, 141, 15.10, 1
118, 536, 13, 0, 561, 940, 404, 391, 31.08, 1
119, 540, 1, 0, 566, 566, 26, 25, 26.00, 1
120, 547, 2, 0, 567, 568, 21, 19, 10.50, 1
121, 549, 4, 0, 569, 572, 23, 19, 5.75, 1
122, 559, 3, 0, 573, 575, 16, 13, 5.33, 1
123, 561, 5, 0, 576, 580, 19, 14, 3.80, 1
124, 564, 3, 0, 581, 583, 19, 16, 6.33, 1
125, 569, 5, 0, 584, 588, 19, 14, 3.80, 1
126, 574, 5, 0, 589, 593, 19, 14, 3.80, 1
127, 579, 1, 0, 594, 594, 15, 14, 15.00, 1
128, 585, 6, 0, 595, 691, 106, 100, 17.67, 1
129, 589, 6, 0, 600, 692, 103, 97, 17.17, 1
130, 590, 2, 0, 605, 606, 16, 14, 8.00, 1
131, 594, 8, 0, 607, 695, 101, 93, 12.62, 1
132, 602, 8, 0, 612, 698, 96, 88, 12.00, 1
133, 606, 1, 0, 617, 617, 11, 10, 11.00, 1
134, 610, 5, 0, 618, 622, 12, 7, 2.40, 1
135, 617, 6, 0, 623, 699, 82, 76, 13.67, 1
136, 618, 8, 0, 628, 702, 84, 76, 10.50, 1
137, 624, 2, 0, 633, 634, 10, 8, 5.00, 1
138, 626, 4, 0, 635, 638, 12, 8, 3.00, 1
139, 628, 3, 0, 639, 641, 13, 10, 4.33, 1
140, 629, 1, 0, 642, 642, 13, 12, 13.00, 1
141, 645, 10, 0, 703, 945, 300, 290, 30.00, 1
142, 652, 1, 0, 708, 708, 56, 55, 56.00, 1
143, 664, 2, 0, 709, 710, 46, 44, 23.00, 1
144, 667, 1, 0, 711, 711, 44, 43, 44.00, 1
145, 669, 5, 0, 712, 716, 47, 42, 9.40, 1
146, 671, 3, 0, 717, 719, 48, 45, 16.00, 1
147, 674, 5, 0, 720, 724, 50, 45, 10.00, 1
148, 677, 1, 0, 725, 725, 48, 47, 48.00, 1
149, 686, 5, 0, 726, 730, 44, 39, 8.80, 1
150, 690, 1, 0, 731, 731, 41, 40, 41.00, 1
151, 694, 1, 0, 732, 732, 38, 37, 38.00, 1
152, 698, 16, 0, 733, 2259, 1561, 1545, 97.56, 1
153, 701, 4, 0, 738, 741, 40, 36, 10.00, 1
154, 703, 2, 0, 742, 743, 40, 38, 20.00, 1
155, 707, 1, 0, 744, 744, 37, 36, 37.00, 1
156, 711, 3, 0, 745, 747, 36, 33, 12.00, 1
157, 712, 1, 0, 748, 748, 36, 35, 36.00, 1
158, 714, 5, 0, 749, 753, 39, 34, 7.80, 1
159, 723, 3, 0, 754, 756, 33, 30, 11.00, 1
160, 726, 3, 0, 757, 759, 33, 30, 11.00, 1
161, 729, 1, 0, 760, 760, 31, 30, 31.00, 1
162, 732, 2, 0, 761, 762, 30, 28, 15.00, 1
163, 735, 8, 0, 763, 953, 218, 210, 27.25, 1
164, 736, 5, 0, 768, 772, 36, 31, 7.20, 1
165, 739, 5, 0, 773, 777, 38, 33, 7.60, 1
166, 748, 14, 0, 778, 1407, 659, 645, 47.07, 1
167, 751, 2, 0, 783, 784, 33, 31, 16.50, 1
168, 752, 5, 0, 785, 789, 37, 32, 7.40, 1
169, 760, 1, 0, 790, 790, 30, 29, 30.00, 1
170, 762, 7, 0, 791, 960, 198, 191, 28.29, 1
171, 763, 4, 0, 796, 799, 36, 32, 9.00, 1
172, 773, 2, 0, 800, 801, 28, 26, 14.00, 1
173, 781, 3, 0, 802, 804, 23, 20, 7.67, 1
