,time(s), turnaround, wait, normturnaround
10000,<1,0,0.05,0
10000,<2,0.01,0.13,0.14
10000,<4,0.14,0.25,0.68
10000,<8,0.42,0.58,1.65
10000,<16,1.04,1.22,2.93
10000,<32,2.5,2.64,5.55
10000,<64,4.45,4.55,9.5
10000,<128,7.4,7.43,15.45
10000,<256,12.81,12.88,24.56
10000,<512,19.86,19.93,38.38
10000,<1024,31.64,31.66,62.59
10000,<2048,48.14,48.25,90.25
10000,<4096,73.29,73.32,99.99
10000,<8192,79.54,79.56,100
10000,<16384,92.66,92.67,100
10000,<32768,99.26,99.27,100
10000,<65536,100,100,100
10000,<131072,100,100,100
10000,<262144,100,100,100
10000,<524288,100,100,100
10000,<1048576,100,100,100
