pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 4, 0, 1, 4, 4, 0, 1.00, 1
2, 3, 5, 0, 5, 9, 6, 1, 1.20, 1
3, 8, 2, 0, 10, 11, 3, 1, 1.50, 1
4, 11, 2, 0, 12, 13, 2, 0, 1.00, 1
5, 13, 6, 0, 14, 19, 6, 0, 1.00, 1
6, 17, 7, 0, 20, 26, 9, 2, 1.29, 1
7, 18, 3, 0, 27, 29, 11, 8, 3.67, 1
8, 23, 7, 0, 30, 36, 13, 6, 1.86, 1
9, 28, 3, 0, 37, 39, 11, 8, 3.67, 1
10, 32, 1, 0, 40, 40, 8, 7, 8.00, 1
11, 33, 11, 0, 41, 56, 23, 12, 2.09, 1
12, 56, 6, 0, 57, 62, 6, 0, 1.00, 1
13, 60, 1, 0, 63, 64, 4, 3, 4.00, 1
14, 64, 2, 0, 65, 67, 3, 1, 1.50, 1
15, 67, 2, 0, 68, 71, 4, 2, 2.00, 1
16, 71, 7, 0, 72, 78, 7, 0, 1.00, 1
17, 77, 1, 0, 79, 82, 5, 4, 5.00, 1
18, 82, 4, 0, 83, 90, 8, 4, 2.00, 1
19, 90, 18, 0, 91, 108, 18, 0, 1.00, 1
20, 99, 1, 0, 109, 109, 10, 9, 10.00, 1
21, 102, 1, 0, 110, 110, 8, 7, 8.00, 1
22, 105, 4, 0, 111, 114, 9, 5, 2.25, 1
23, 110, 2, 0, 115, 116, 6, 4, 3.00, 1
24, 112, 8, 0, 117, 124, 12, 4, 1.50, 1
25, 113, 1, 0, 125, 125, 12, 11, 12.00, 1
26, 117, 6, 0, 126, 131, 14, 8, 2.33, 1
27, 119, 1, 0, 132, 132, 13, 12, 13.00, 1
28, 129, 3, 0, 133, 140, 11, 8, 3.67, 1
29, 140, 6, 0, 141, 146, 6, 0, 1.00, 1
30, 144, 7, 0, 147, 153, 9, 2, 1.29, 1
31, 150, 9, 0, 154, 162, 12, 3, 1.33, 1
32, 157, 1, 0, 163, 163, 6, 5, 6.00, 1
33, 161, 7, 0, 164, 173, 12, 5, 1.71, 1
34, 173, 18, 0, 174, 191, 18, 0, 1.00, 1
35, 174, 8, 0, 192, 199, 25, 17, 3.12, 1
36, 178, 5, 0, 200, 204, 26, 21, 5.20, 1
37, 183, 4, 0, 205, 208, 25, 21, 6.25, 1
38, 190, 6, 0, 209, 214, 24, 18, 4.00, 1
39, 192, 8, 0, 215, 222, 30, 22, 3.75, 1
40, 194, 1, 0, 223, 223, 29, 28, 29.00, 1
41, 202, 3, 0, 224, 226, 24, 21, 8.00, 1
42, 204, 1, 0, 227, 227, 23, 22, 23.00, 1
43, 211, 1, 0, 228, 228, 17, 16, 17.00, 1
44, 218, 1, 0, 229, 229, 11, 10, 11.00, 1
45, 222, 1, 0, 230, 230, 8, 7, 8.00, 1
46, 224, 10, 0, 231, 240, 16, 6, 1.60, 1
47, 232, 3, 0, 241, 243, 11, 8, 3.67, 1
48, 234, 2, 0, 244, 245, 11, 9, 5.50, 1
49, 238, 6, 0, 246, 251, 13, 7, 2.17, 1
50, 242, 23, 0, 252, 274, 32, 9, 1.39, 1
51, 243, 3, 0, 275, 277, 34, 31, 11.33, 1
52, 244, 21, 0, 278, 298, 54, 33, 2.57, 1
53, 246, 8, 0, 299, 306, 60, 52, 7.50, 1
54, 247, 1, 0, 307, 307, 60, 59, 60.00, 1
55, 254, 2, 0, 308, 309, 55, 53, 27.50, 1
56, 261, 2, 0, 310, 311, 50, 48, 25.00, 1
57, 267, 8, 0, 312, 319, 52, 44, 6.50, 1
58, 285, 2, 0, 320, 321, 36, 34, 18.00, 1
59, 291, 3, 0, 322, 324, 33, 30, 11.00, 1
60, 292, 2, 0, 325, 326, 34, 32, 17.00, 1
61, 300, 3, 0, 327, 329, 29, 26, 9.67, 1
62, 309, 3, 0, 330, 332, 23, 20, 7.67, 1
63, 311, 7, 0, 333, 339, 28, 21, 4.00, 1
64, 319, 3, 0, 340, 342, 23, 20, 7.67, 1
65, 320, 1, 0, 343, 343, 23, 22, 23.00, 1
66, 322, 1, 0, 344, 344, 22, 21, 22.00, 1
67, 328, 2, 0, 345, 346, 18, 16, 9.00, 1
68, 342, 4, 0, 347, 350, 8, 4, 2.00, 1
69, 345, 4, 0, 351, 354, 9, 5, 2.25, 1
70, 353, 3, 0, 355, 357, 4, 1, 1.33, 1
71, 354, 4, 0, 358, 361, 7, 3, 1.75, 1
72, 357, 6, 0, 362, 367, 10, 4, 1.67, 1
73, 359, 6, 0, 368, 373, 14, 8, 2.33, 1
74, 360, 5, 0, 374, 378, 18, 13, 3.60, 1
75, 361, 1, 0, 379, 379, 18, 17, 18.00, 1
76, 370, 2, 0, 380, 381, 11, 9, 5.50, 1
77, 371, 1, 0, 382, 382, 11, 10, 11.00, 1
78, 376, 2, 0, 383, 390, 14, 12, 7.00, 1
79, 390, 3, 0, 391, 395, 5, 2, 1.67, 1
80, 395, 2, 0, 396, 397, 2, 0, 1.00, 1
81, 397, 1, 0, 398, 400, 3, 2, 3.00, 1
82, 400, 1, 0, 401, 401, 1, 0, 1.00, 1
83, 401, 7, 0, 402, 408, 7, 0, 1.00, 1
84, 403, 4, 0, 409, 412, 9, 5, 2.25, 1
85, 405, 2, 0, 413, 414, 9, 7, 4.50, 1
86, 407, 1, 0, 415, 424, 17, 16, 17.00, 1
87, 424, 10, 0, 425, 434, 10, 0, 1.00, 1
88, 428, 1, 0, 435, 435, 7, 6, 7.00, 1
89, 432, 2, 0, 436, 437, 5, 3, 2.50, 1
90, 433, 1, 0, 438, 438, 5, 4, 5.00, 1
91, 436, 4, 0, 439, 442, 6, 2, 1.50, 1
92, 437, 4, 0, 443, 446, 9, 5, 2.25, 1
93, 442, 1, 0, 447, 447, 5, 4, 5.00, 1
94, 443, 3, 0, 448, 450, 7, 4, 2.33, 1
