pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 4, 0, 1, 5, 5, 1, 1.25, 1
2, 3, 5, 0, 4, 10, 7, 2, 1.40, 1
3, 8, 2, 0, 9, 11, 3, 1, 1.50, 1
4, 11, 2, 0, 12, 13, 2, 0, 1.00, 1
5, 13, 6, 0, 14, 22, 9, 3, 1.50, 1
6, 17, 7, 0, 18, 36, 19, 12, 2.71, 1
7, 18, 3, 0, 20, 26, 8, 5, 2.67, 1
8, 23, 7, 0, 25, 43, 20, 13, 2.86, 1
9, 28, 3, 0, 30, 38, 10, 7, 3.33, 1
10, 32, 1, 0, 35, 35, 3, 2, 3.00, 1
11, 33, 11, 0, 37, 51, 18, 7, 1.64, 1
12, 56, 6, 0, 56, 62, 6, 0, 1.00, 1
13, 60, 1, 0, 63, 63, 3, 2, 3.00, 1
14, 64, 2, 0, 64, 66, 2, 0, 1.00, 1
15, 67, 2, 0, 67, 69, 2, 0, 1.00, 1
16, 71, 7, 0, 71, 78, 7, 0, 1.00, 1
17, 77, 1, 0, 79, 79, 2, 1, 2.00, 1
18, 82, 4, 0, 82, 86, 4, 0, 1.00, 1
19, 90, 18, 0, 90, 108, 18, 0, 1.00, 1
20, 99, 1, 0, 109, 109, 10, 9, 10.00, 1
21, 102, 1, 0, 110, 110, 8, 7, 8.00, 1
22, 105, 4, 0, 111, 120, 15, 11, 3.75, 1
23, 110, 2, 0, 112, 115, 5, 3, 2.50, 1
24, 112, 8, 0, 114, 133, 21, 13, 2.62, 1
25, 113, 1, 0, 116, 116, 3, 2, 3.00, 1
26, 117, 6, 0, 119, 132, 15, 9, 2.50, 1
27, 119, 1, 0, 122, 122, 3, 2, 3.00, 1
28, 129, 3, 0, 131, 135, 6, 3, 2.00, 1
29, 140, 6, 0, 140, 146, 6, 0, 1.00, 1
30, 144, 7, 0, 147, 156, 12, 5, 1.71, 1
31, 150, 9, 0, 151, 165, 15, 6, 1.67, 1
32, 157, 1, 0, 158, 158, 1, 0, 1.00, 1
33, 161, 7, 0, 162, 170, 9, 2, 1.29, 1
34, 173, 18, 0, 173, 191, 18, 0, 1.00, 1
35, 174, 8, 0, 192, 230, 56, 48, 7.00, 1
36, 178, 5, 0, 193, 218, 40, 35, 8.00, 1
37, 183, 4, 0, 194, 212, 29, 25, 7.25, 1
38, 190, 6, 0, 195, 224, 34, 28, 5.67, 1
39, 192, 8, 0, 196, 232, 40, 32, 5.00, 1
40, 194, 1, 0, 199, 199, 5, 4, 5.00, 1
41, 202, 3, 0, 207, 220, 18, 15, 6.00, 1
42, 204, 1, 0, 210, 210, 6, 5, 6.00, 1
43, 211, 1, 0, 217, 217, 6, 5, 6.00, 1
44, 218, 1, 0, 223, 223, 5, 4, 5.00, 1
45, 222, 1, 0, 226, 226, 4, 3, 4.00, 1
46, 224, 10, 0, 228, 264, 40, 30, 4.00, 1
47, 232, 3, 0, 234, 240, 8, 5, 2.67, 1
48, 234, 2, 0, 236, 239, 5, 3, 2.50, 1
49, 238, 6, 0, 241, 268, 30, 24, 5.00, 1
50, 242, 23, 0, 244, 349, 107, 84, 4.65, 1
51, 243, 3, 0, 246, 259, 16, 13, 5.33, 1
52, 244, 21, 0, 248, 344, 100, 79, 4.76, 1
53, 246, 8, 0, 251, 288, 42, 34, 5.25, 1
54, 247, 1, 0, 253, 253, 6, 5, 6.00, 1
55, 254, 2, 0, 260, 266, 12, 10, 6.00, 1
56, 261, 2, 0, 267, 273, 12, 10, 6.00, 1
57, 267, 8, 0, 272, 304, 37, 29, 4.62, 1
58, 285, 2, 0, 289, 293, 8, 6, 4.00, 1
59, 291, 3, 0, 295, 306, 15, 12, 5.00, 1
60, 292, 2, 0, 297, 302, 10, 8, 5.00, 1
61, 300, 3, 0, 305, 313, 13, 10, 4.33, 1
62, 309, 3, 0, 312, 321, 12, 9, 4.00, 1
63, 311, 7, 0, 315, 342, 31, 24, 4.43, 1
64, 319, 3, 0, 323, 334, 15, 12, 5.00, 1
65, 320, 1, 0, 325, 325, 5, 4, 5.00, 1
66, 322, 1, 0, 327, 327, 5, 4, 5.00, 1
67, 328, 2, 0, 332, 337, 9, 7, 4.50, 1
68, 342, 4, 0, 345, 353, 11, 7, 2.75, 1
69, 345, 4, 0, 347, 354, 9, 5, 2.25, 1
70, 353, 3, 0, 355, 360, 7, 4, 2.33, 1
71, 354, 4, 0, 356, 366, 12, 8, 3.00, 1
72, 357, 6, 0, 359, 381, 24, 18, 4.00, 1
73, 359, 6, 0, 362, 383, 24, 18, 4.00, 1
74, 360, 5, 0, 364, 382, 22, 17, 4.40, 1
75, 361, 1, 0, 365, 365, 4, 3, 4.00, 1
76, 370, 2, 0, 373, 378, 8, 6, 4.00, 1
77, 371, 1, 0, 375, 375, 4, 3, 4.00, 1
78, 376, 2, 0, 380, 384, 8, 6, 4.00, 1
79, 390, 3, 0, 390, 393, 3, 0, 1.00, 1
80, 395, 2, 0, 395, 397, 2, 0, 1.00, 1
81, 397, 1, 0, 398, 398, 1, 0, 1.00, 1
82, 400, 1, 0, 400, 401, 1, 0, 1.00, 1
83, 401, 7, 0, 402, 415, 14, 7, 2.00, 1
84, 403, 4, 0, 404, 413, 10, 6, 2.50, 1
85, 405, 2, 0, 407, 411, 6, 4, 3.00, 1
86, 407, 1, 0, 410, 410, 3, 2, 3.00, 1
87, 424, 10, 0, 424, 434, 10, 0, 1.00, 1
88, 428, 1, 0, 435, 435, 7, 6, 7.00, 1
89, 432, 2, 0, 436, 439, 7, 5, 3.50, 1
90, 433, 1, 0, 437, 437, 4, 3, 4.00, 1
91, 436, 4, 0, 438, 447, 11, 7, 2.75, 1
92, 437, 4, 0, 440, 448, 11, 7, 2.75, 1
93, 442, 1, 0, 444, 444, 2, 1, 2.00, 1
94, 443, 3, 0, 446, 454, 11, 8, 3.67, 1
95, 446, 3, 0, 449, 458, 12, 9, 4.00, 1
96, 447, 12, 0, 451, 507, 60, 48, 5.00, 1
97, 449, 4, 0, 452, 465, 16, 12, 4.00, 1
98, 452, 4, 0, 456, 467, 15, 11, 3.75, 1
99, 461, 5, 0, 464, 479, 18, 13, 3.60, 1
100, 464, 5, 0, 468, 483, 19, 14, 3.80, 1
101, 475, 3, 0, 478, 494, 19, 16, 6.33, 1
102, 476, 9, 0, 480, 556, 80, 71, 8.89, 1
103, 477, 6, 0, 482, 527, 50, 44, 8.33, 1
104, 479, 7, 0, 485, 542, 63, 56, 9.00, 1
105, 480, 2, 0, 486, 496, 16, 14, 8.00, 1
106, 481, 15, 0, 488, 655, 174, 159, 11.60, 1
