pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 9, 0, 1, 5176, 5176, 5167, 575.11, 1
2, 2, 8, 0, 4, 5178, 5176, 5168, 647.00, 1
3, 4, 2, 0, 7, 8, 4, 2, 2.00, 1
4, 4, 4, 0, 9, 1687, 1683, 1679, 420.75, 1
5, 7, 5, 0, 12, 1689, 1682, 1677, 336.40, 1
6, 8, 2, 0, 15, 16, 8, 6, 4.00, 1
7, 10, 4, 0, 17, 1690, 1680, 1676, 420.00, 1
8, 11, 4, 0, 20, 1691, 1680, 1676, 420.00, 1
9, 13, 6, 0, 23, 1694, 1681, 1675, 280.17, 1
10, 14, 3, 0, 26, 28, 14, 11, 4.67, 1
11, 16, 5, 0, 29, 1696, 1680, 1675, 336.00, 1
12, 17, 7, 0, 32, 5179, 5162, 5155, 737.43, 1
13, 20, 5, 0, 35, 1701, 1681, 1676, 336.20, 1
14, 21, 3, 0, 38, 40, 19, 16, 6.33, 1
15, 22, 3, 0, 41, 43, 21, 18, 7.00, 1
16, 23, 6, 0, 44, 1704, 1681, 1675, 280.17, 1
17, 25, 7, 0, 47, 5180, 5155, 5148, 736.43, 1
18, 27, 8, 0, 50, 5182, 5155, 5147, 644.38, 1
19, 29, 1, 0, 53, 53, 24, 23, 24.00, 1
20, 32, 5, 0, 54, 1712, 1680, 1675, 336.00, 1
21, 33, 5, 0, 57, 1714, 1681, 1676, 336.20, 1
22, 36, 7, 0, 60, 5183, 5147, 5140, 735.29, 1
23, 38, 8, 0, 63, 5185, 5147, 5139, 643.38, 1
24, 39, 5, 0, 66, 1722, 1683, 1678, 336.60, 1
25, 40, 5, 0, 69, 1724, 1684, 1679, 336.80, 1
26, 42, 3, 0, 72, 74, 32, 29, 10.67, 1
27, 43, 6, 0, 75, 1727, 1684, 1678, 280.67, 1
28, 44, 2, 0, 78, 79, 35, 33, 17.50, 1
29, 45, 2, 0, 80, 81, 36, 34, 18.00, 1
30, 47, 4, 0, 82, 1728, 1681, 1677, 420.25, 1
31, 48, 5, 0, 85, 1730, 1682, 1677, 336.40, 1
