pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 4, 0, 1, 4, 4, 0, 1.00, 1
2, 3, 5, 0, 5, 9, 6, 1, 1.20, 1
3, 8, 2, 0, 10, 11, 3, 1, 1.50, 1
4, 11, 2, 0, 12, 13, 2, 0, 1.00, 1
5, 13, 6, 0, 14, 19, 6, 0, 1.00, 1
6, 17, 7, 0, 23, 29, 12, 5, 1.71, 1
7, 18, 3, 0, 20, 22, 4, 1, 1.33, 1
8, 23, 7, 0, 34, 40, 17, 10, 2.43, 1
9, 28, 3, 0, 30, 32, 4, 1, 1.33, 1
10, 32, 1, 0, 33, 33, 1, 0, 1.00, 1
11, 33, 11, 0, 41, 51, 18, 7, 1.64, 1
12, 56, 6, 0, 56, 62, 6, 0, 1.00, 1
13, 60, 1, 0, 63, 63, 3, 2, 3.00, 1
14, 64, 2, 0, 64, 66, 2, 0, 1.00, 1
15, 67, 2, 0, 67, 69, 2, 0, 1.00, 1
16, 71, 7, 0, 71, 78, 7, 0, 1.00, 1
17, 77, 1, 0, 79, 79, 2, 1, 2.00, 1
18, 82, 4, 0, 82, 86, 4, 0, 1.00, 1
19, 90, 18, 0, 90, 108, 18, 0, 1.00, 1
20, 99, 1, 0, 134, 134, 35, 34, 35.00, 1
21, 102, 1, 0, 135, 135, 33, 32, 33.00, 1
22, 105, 4, 0, 109, 112, 7, 3, 1.75, 1
23, 110, 2, 0, 113, 114, 4, 2, 2.00, 1
24, 112, 8, 0, 116, 123, 11, 3, 1.38, 1
25, 113, 1, 0, 115, 115, 2, 1, 2.00, 1
26, 117, 6, 0, 125, 130, 13, 7, 2.17, 1
27, 119, 1, 0, 124, 124, 5, 4, 5.00, 1
28, 129, 3, 0, 131, 133, 4, 1, 1.33, 1
29, 140, 6, 0, 140, 146, 6, 0, 1.00, 1
30, 144, 7, 0, 147, 153, 9, 2, 1.29, 1
31, 150, 9, 0, 154, 162, 12, 3, 1.33, 1
32, 157, 1, 0, 163, 163, 6, 5, 6.00, 1
33, 161, 7, 0, 164, 170, 9, 2, 1.29, 1
34, 173, 18, 0, 173, 191, 18, 0, 1.00, 1
35, 174, 8, 0, 222, 229, 55, 47, 6.88, 1
36, 178, 5, 0, 209, 213, 35, 30, 7.00, 1
37, 183, 4, 0, 192, 195, 12, 8, 3.00, 1
38, 190, 6, 0, 215, 220, 30, 24, 5.00, 1
39, 192, 8, 0, 197, 204, 12, 4, 1.50, 1
40, 194, 1, 0, 196, 196, 2, 1, 2.00, 1
41, 202, 3, 0, 206, 208, 6, 3, 2.00, 1
42, 204, 1, 0, 205, 205, 1, 0, 1.00, 1
43, 211, 1, 0, 214, 214, 3, 2, 3.00, 1
44, 218, 1, 0, 221, 221, 3, 2, 3.00, 1
45, 222, 1, 0, 230, 230, 8, 7, 8.00, 1
46, 224, 10, 0, 231, 240, 16, 6, 1.60, 1
47, 232, 3, 0, 338, 340, 108, 105, 36.00, 1
48, 234, 2, 0, 241, 242, 8, 6, 4.00, 1
49, 238, 6, 0, 341, 346, 108, 102, 18.00, 1
50, 242, 23, 0, 243, 265, 23, 0, 1.00, 1
51, 243, 3, 0, 289, 291, 48, 45, 16.00, 1
52, 244, 21, 0, 297, 317, 73, 52, 3.48, 1
53, 246, 8, 0, 279, 286, 40, 32, 5.00, 1
54, 247, 1, 0, 276, 276, 29, 28, 29.00, 1
55, 254, 2, 0, 277, 278, 24, 22, 12.00, 1
56, 261, 2, 0, 266, 267, 6, 4, 3.00, 1
57, 267, 8, 0, 268, 275, 8, 0, 1.00, 1
58, 285, 2, 0, 287, 288, 3, 1, 1.50, 1
59, 291, 3, 0, 292, 294, 3, 0, 1.00, 1
60, 292, 2, 0, 295, 296, 4, 2, 2.00, 1
61, 300, 3, 0, 332, 334, 34, 31, 11.33, 1
62, 309, 3, 0, 335, 337, 28, 25, 9.33, 1
63, 311, 7, 0, 318, 324, 13, 6, 1.86, 1
64, 319, 3, 0, 327, 329, 10, 7, 3.33, 1
65, 320, 1, 0, 325, 325, 5, 4, 5.00, 1
66, 322, 1, 0, 326, 326, 4, 3, 4.00, 1
67, 328, 2, 0, 330, 331, 3, 1, 1.50, 1
68, 342, 4, 0, 347, 350, 8, 4, 2.00, 1
69, 345, 4, 0, 351, 354, 9, 5, 2.25, 1
70, 353, 3, 0, 355, 357, 4, 1, 1.33, 1
71, 354, 4, 0, 358, 361, 7, 3, 1.75, 1
72, 357, 6, 0, 368, 373, 16, 10, 2.67, 1
73, 359, 6, 0, 379, 384, 25, 19, 4.17, 1
74, 360, 5, 0, 363, 367, 7, 2, 1.40, 1
75, 361, 1, 0, 362, 362, 1, 0, 1.00, 1
76, 370, 2, 0, 375, 376, 6, 4, 3.00, 1
77, 371, 1, 0, 374, 374, 3, 2, 3.00, 1
78, 376, 2, 0, 377, 378, 2, 0, 1.00, 1
79, 390, 3, 0, 390, 393, 3, 0, 1.00, 1
80, 395, 2, 0, 395, 397, 2, 0, 1.00, 1
81, 397, 1, 0, 398, 398, 1, 0, 1.00, 1
82, 400, 1, 0, 400, 401, 1, 0, 1.00, 1
83, 401, 7, 0, 402, 408, 7, 0, 1.00, 1
84, 403, 4, 0, 412, 415, 12, 8, 3.00, 1
85, 405, 2, 0, 410, 411, 6, 4, 3.00, 1
86, 407, 1, 0, 409, 409, 2, 1, 2.00, 1
87, 424, 10, 0, 424, 434, 10, 0, 1.00, 1
88, 428, 1, 0, 436, 436, 8, 7, 8.00, 1
89, 432, 2, 0, 437, 438, 6, 4, 3.00, 1
90, 433, 1, 0, 435, 435, 2, 1, 2.00, 1
91, 436, 4, 0, 439, 442, 6, 2, 1.50, 1
92, 437, 4, 0, 458, 461, 24, 20, 6.00, 1
93, 442, 1, 0, 443, 443, 1, 0, 1.00, 1
94, 443, 3, 0, 444, 446, 3, 0, 1.00, 1
