pid, arrival, service, remaining, start, finish, turnaround, wait, normturnaround, complete
1, 0, 4, 0, 1, 4, 4, 0, 1.00, 1
2, 3, 5, 0, 5, 11, 8, 3, 1.60, 1
3, 8, 2, 0, 9, 10, 2, 0, 1.00, 1
4, 11, 2, 0, 12, 13, 2, 0, 1.00, 1
5, 13, 6, 0, 14, 22, 9, 3, 1.50, 1
6, 17, 7, 0, 23, 32, 15, 8, 2.14, 1
7, 18, 3, 0, 19, 21, 3, 0, 1.00, 1
8, 23, 7, 0, 34, 40, 17, 10, 2.43, 1
9, 28, 3, 0, 29, 31, 3, 0, 1.00, 1
10, 32, 1, 0, 33, 33, 1, 0, 1.00, 1
11, 33, 11, 0, 41, 51, 18, 7, 1.64, 1
12, 56, 6, 0, 56, 63, 7, 1, 1.17, 1
13, 60, 1, 0, 61, 61, 1, 0, 1.00, 1
14, 64, 2, 0, 64, 66, 2, 0, 1.00, 1
15, 67, 2, 0, 67, 69, 2, 0, 1.00, 1
16, 71, 7, 0, 71, 79, 8, 1, 1.14, 1
17, 77, 1, 0, 78, 78, 1, 0, 1.00, 1
18, 82, 4, 0, 82, 86, 4, 0, 1.00, 1
19, 90, 18, 0, 90, 117, 27, 9, 1.50, 1
20, 99, 1, 0, 100, 100, 1, 0, 1.00, 1
21, 102, 1, 0, 103, 103, 1, 0, 1.00, 1
22, 105, 4, 0, 106, 109, 4, 0, 1.00, 1
23, 110, 2, 0, 111, 112, 2, 0, 1.00, 1
24, 112, 8, 0, 125, 135, 23, 15, 2.88, 1
25, 113, 1, 0, 114, 114, 1, 0, 1.00, 1
26, 117, 6, 0, 118, 124, 7, 1, 1.17, 1
27, 119, 1, 0, 120, 120, 1, 0, 1.00, 1
28, 129, 3, 0, 130, 132, 3, 0, 1.00, 1
29, 140, 6, 0, 140, 146, 6, 0, 1.00, 1
30, 144, 7, 0, 147, 153, 9, 2, 1.29, 1
31, 150, 9, 0, 154, 170, 20, 11, 2.22, 1
32, 157, 1, 0, 158, 158, 1, 0, 1.00, 1
33, 161, 7, 0, 162, 168, 7, 0, 1.00, 1
34, 173, 18, 0, 173, 257, 84, 66, 4.67, 1
